apn,address,station,band,current_zone,current_max_height_ft,current_max_height_raw,sb79_floor_ft,lot_sf,year_built,historic_status,lat,lon
120-02-001,"540 Hawthorne Av, Palo Alto",univ,1/2mi,R-2; RM-30,,Cannot assess for this zone.,65,20000,1948,none,37.450952,-122.162121
120-02-001,"538 Hawthorne Av, Palo Alto",univ,1/2mi,R-2; RM-30,,Cannot assess for this zone.,65,20000,1948,none,37.450952,-122.162121
120-02-001,"532 Hawthorne Av, Palo Alto",univ,1/2mi,R-2; RM-30,,Cannot assess for this zone.,65,20000,1948,none,37.450952,-122.162121
120-02-001,"530 Hawthorne Av, Palo Alto",univ,1/2mi,R-2; RM-30,,Cannot assess for this zone.,65,20000,1948,none,37.450952,-122.162121
120-02-001,"536 Hawthorne Av, Palo Alto",univ,1/2mi,R-2; RM-30,,Cannot assess for this zone.,65,20000,1948,none,37.450952,-122.162121
120-02-047,"535 Everett Av, Palo Alto",univ,1/2mi,PC-2145,,Cannot assess for this zone.,65,30000,1964,none,37.450666,-122.161527
120-02-048,"521 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6500,1932,none,37.450399,-122.161647
120-02-048,"523 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6500,1932,none,37.450399,-122.161647
120-02-049,"519 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1908,none,37.450257,-122.161712
120-02-049,"517 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1908,none,37.450257,-122.161712
120-02-049,"515 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1908,none,37.450257,-122.161712
120-02-050,"509 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1904,none,37.450149,-122.161819
120-02-050,"505 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1904,none,37.450149,-122.161819
120-02-050,"275 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1904,none,37.450149,-122.161819
120-02-050,"507 Everett Av, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,5000,1904,none,37.450149,-122.161819
120-02-051,"241 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6000,1910,none,37.450353,-122.161947
120-02-051,"245 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6000,1910,none,37.450353,-122.161947
120-02-051,"243 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6000,1910,none,37.450353,-122.161947
120-02-051,"239 Cowper St, Palo Alto",univ,1/2mi,RM-30,,Cannot assess for this zone.,65,6000,1910,none,37.450353,-122.161947
120-02-052,"231 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1930,none,37.45047,-122.16205
120-02-053,"223 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1906,Category 4,37.450555,-122.162185
120-02-054,"215 Cowper St, Palo Alto",univ,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1906,Category 4,37.45064,-122.16232
